objectid,mode,lineabbr,month_,year_,servicetype,avgboardings,city,county
211,Fixed Route Bus - Regular,2,May,2019,SAT,196.500000000000000,Salt Lake City,Salt Lake
212,Fixed Route Bus - Regular,2,November,2019,SUN,296.916667000000018,Salt Lake City,Salt Lake
213,Fixed Route Bus - Regular,2,December,2019,WKD,1536.310595000000149,Salt Lake City,Salt Lake
214,Fixed Route Bus - Regular,2,February,2019,SAT,207.849999999999994,Salt Lake City,Salt Lake
215,Fixed Route Bus - Regular,2,December,2019,SUN,244.199999999999989,Salt Lake City,Salt Lake
216,Fixed Route Bus - Regular,2,February,2019,WKD,1925.945427000000109,Salt Lake City,Salt Lake
217,Fixed Route Bus - Regular,2,January,2019,SAT,168.283332999999999,Salt Lake City,Salt Lake
218,Fixed Route Bus - Regular,2,September,2019,SAT,796.883332999999993,Salt Lake City,Salt Lake
219,Fixed Route Bus - Regular,2,April,2019,SUN,0.000000000000000,Salt Lake City,Salt Lake
220,Fixed Route Bus - Regular,2,May,2019,WKD,1498.670313999999962,Salt Lake City,Salt Lake
221,Fixed Route Bus - Regular,2,June,2019,WKD,1456.332388999999921,Salt Lake City,Salt Lake
222,Fixed Route Bus - Regular,2,July,2019,WKD,1457.557137999999895,Salt Lake City,Salt Lake
223,Fixed Route Bus - Regular,2,November,2019,WKD,2117.236779999999726,Salt Lake City,Salt Lake
224,Fixed Route Bus - Regular,2,August,2019,SUN,194.500000000000000,Salt Lake City,Salt Lake
225,Fixed Route Bus - Regular,2,April,2019,WKD,1831.396167999999989,Salt Lake City,Salt Lake
226,Fixed Route Bus - Regular,2,September,2019,SUN,303.449999999999989,Salt Lake City,Salt Lake
227,Fixed Route Bus - Regular,2,June,2019,SAT,174.250000000000000,Salt Lake City,Salt Lake
228,Fixed Route Bus - Regular,2,April,2019,SAT,204.491667000000007,Salt Lake City,Salt Lake
229,Fixed Route Bus - Regular,2,August,2019,WKD,1895.385793000000149,Salt Lake City,Salt Lake
230,Fixed Route Bus - Regular,2,October,2019,WKD,2079.668832999999722,Salt Lake City,Salt Lake
231,Fixed Route Bus - Regular,2,November,2019,SAT,775.866666999999893,Salt Lake City,Salt Lake
232,Fixed Route Bus - Regular,2,October,2019,SUN,285.800000000000011,Salt Lake City,Salt Lake
233,Fixed Route Bus - Regular,2,January,2019,WKD,1907.849872999999889,Salt Lake City,Salt Lake
234,Fixed Route Bus - Regular,2,December,2019,SAT,645.750000000000000,Salt Lake City,Salt Lake
235,Fixed Route Bus - Regular,2,August,2019,SAT,553.700000000000045,Salt Lake City,Salt Lake
236,Fixed Route Bus - Regular,2,September,2019,WKD,2198.663927999999942,Salt Lake City,Salt Lake
237,Fixed Route Bus - Regular,2,July,2019,SAT,171.166666999999990,Salt Lake City,Salt Lake
238,Fixed Route Bus - Regular,2,October,2018,SAT,193.583333000000010,Salt Lake City,Salt Lake
239,Fixed Route Bus - Regular,2,May,2018,WKD,1489.572973999999931,Salt Lake City,Salt Lake
240,Fixed Route Bus - Regular,2,December,2018,WKD,1467.642579999999953,Salt Lake City,Salt Lake
241,Fixed Route Bus - Regular,2,May,2018,SAT,163.906666999999999,Salt Lake City,Salt Lake
242,Fixed Route Bus - Regular,2,November,2018,WKD,2130.053377000000182,Salt Lake City,Salt Lake
243,Fixed Route Bus - Regular,2,February,2018,SAT,189.099999999999994,Salt Lake City,Salt Lake
244,Fixed Route Bus - Regular,2,August,2018,WKD,1830.645119000000022,Salt Lake City,Salt Lake
245,Fixed Route Bus - Regular,2,December,2018,SAT,159.902778000000012,Salt Lake City,Salt Lake
246,Fixed Route Bus - Regular,2,September,2018,SAT,209.099999999999994,Salt Lake City,Salt Lake
247,Fixed Route Bus - Regular,2,July,2018,WKD,1482.653853000000026,Salt Lake City,Salt Lake
248,Fixed Route Bus - Regular,2,July,2018,SAT,161.050000000000011,Salt Lake City,Salt Lake
249,Fixed Route Bus - Regular,2,April,2018,SAT,192.629999999999995,Salt Lake City,Salt Lake
250,Fixed Route Bus - Regular,2,November,2018,SAT,206.483333000000016,Salt Lake City,Salt Lake
251,Fixed Route Bus - Regular,2,June,2018,SAT,176.000000000000000,Salt Lake City,Salt Lake
252,Fixed Route Bus - Regular,2,March,2018,WKD,1929.356291999999939,Salt Lake City,Salt Lake
253,Fixed Route Bus - Regular,2,April,2018,WKD,1966.152636999999913,Salt Lake City,Salt Lake
254,Fixed Route Bus - Regular,2,March,2018,SAT,179.800000000000011,Salt Lake City,Salt Lake
255,Fixed Route Bus - Regular,2,August,2018,SAT,212.000000000000000,Salt Lake City,Salt Lake
256,Fixed Route Bus - Regular,2,February,2018,WKD,2136.447355999999672,Salt Lake City,Salt Lake
257,Fixed Route Bus - Regular,2,January,2018,WKD,1974.798586999999998,Salt Lake City,Salt Lake
258,Fixed Route Bus - Regular,2,June,2018,WKD,1493.846046999999999,Salt Lake City,Salt Lake
259,Fixed Route Bus - Regular,2,October,2018,WKD,2059.486711999999898,Salt Lake City,Salt Lake
260,Fixed Route Bus - Regular,2,January,2018,SAT,188.000000000000000,Salt Lake City,Salt Lake
261,Fixed Route Bus - Regular,2,September,2018,WKD,2215.659077000000252,Salt Lake City,Salt Lake
262,Fixed Route Bus - Regular,2,May,2017,WKD,1682.733448000000180,Salt Lake City,Salt Lake
263,Fixed Route Bus - Regular,2,March,2017,SAT,250.000000000000000,Salt Lake City,Salt Lake
264,Fixed Route Bus - Regular,2,July,2017,WKD,1532.597310999999991,Salt Lake City,Salt Lake
265,Fixed Route Bus - Regular,2,December,2017,WKD,1578.357776000000058,Salt Lake City,Salt Lake
266,Fixed Route Bus - Regular,2,August,2017,WKD,1797.306241999999884,Salt Lake City,Salt Lake
267,Fixed Route Bus - Regular,2,October,2017,WKD,2129.843319999999949,Salt Lake City,Salt Lake
268,Fixed Route Bus - Regular,2,April,2017,WKD,2035.819572000000107,Salt Lake City,Salt Lake
269,Fixed Route Bus - Regular,2,September,2017,SAT,184.083333000000010,Salt Lake City,Salt Lake
270,Fixed Route Bus - Regular,2,July,2017,SAT,205.976190000000003,Salt Lake City,Salt Lake
